"","Gene.Symbol","Ensembl.id","Ensembl.id.version","Entrez.GeneId","Name","Tier","Genome.Location","Hallmark","Chr.Band","Somatic","Germline","Tumour.Types.Somatic.","Tumour.Types.Germline.","Cancer.Syndrome","Tissue.Type","Molecular.Genetics","Role.in.Cancer","Mutation.Types","Translocation.Partner","Other.Germline.Mut","Other.Syndrome","COSMIC.ID","cosmic.gene.name","Synonyms"
"1","A1CF","ENSG00000148584.14","ENSG00000148584",29974,"APOBEC1 complementation factor",2,"10:50799421-50885675","",11.23,"yes","","melanoma","","","E","","oncogene","Mis","","","","COSG285572","A1CF","29974,A1CF,ACF,ACF64,ACF65,APOBEC1CF,ASP,ENSG00000148584.14"
"2","ABI1","ENSG00000136754.17","ENSG00000136754",10006,"abl-interactor 1",1,"10:26746593-26860935","Yes",12.1,"yes","","AML","","","L","Dom","TSG, fusion","T","KMT2A","","","COSG211289","ABI1","10006,ABI-1,ABI1,E3B1,ENSG00000136754.17,Q8IZP0,SSH3BP1"
"3","ABL1","ENSG00000097007.17","ENSG00000097007",25,"v-abl Abelson murine leukemia viral oncogene homolog 1",1,"9:130713946-130885683","Yes",34.12,"yes","","CML, ALL, T-ALL","","","L","Dom","oncogene, fusion","T, Mis","BCR, ETV6, NUP214","","","COSG368134","ABL1","25,ABL,ABL1,ENSG00000097007.17,JTK7,P00519,c-ABL,p150"
"4","ABL2","ENSG00000143322.19","ENSG00000143322",27,"c-abl oncogene 2, non-receptor tyrosine kinase",1,"1:179099327-179229601","",25.2,"yes","","AML","","","L","Dom","oncogene, fusion","T","ETV6","","","COSG386660","ABL2","27,ABL2,ABLL,ARG,ENSG00000143322.19,P42684"
"5","ACKR3","ENSG00000144476.5","ENSG00000144476",57007,"atypical chemokine receptor 3",1,"2:236569641-236582358","Yes",37.3,"yes","","lipoma","","","M","Dom","oncogene, fusion","T","HMGA2","","","COSG370337","ACKR3","57007,ACKR3,CMKOR1,CXCR7,ENSG00000144476.5,GPR159,P25106,RDC1"
"6","ACSL3","ENSG00000123983.13","ENSG00000123983",2181,"acyl-CoA synthetase long-chain family member 3",1,"2:222860934-222944639","Yes",36.1,"yes","","prostate","","","E","Dom","fusion","T","ETV1","","","COSG347722","ACSL3","2181,ACS3,ACSL3,ENSG00000123983.13,FACL3,O95573,PRO2194"
"7","ACSL6","ENSG00000164398.12","ENSG00000164398",23305,"acyl-CoA synthetase long-chain family member 6",2,"5:131949973-132011662","",31.1,"yes","","AML, AEL","","","L","Dom","fusion","T","ETV6","","","COSG239542","ACSL6","23305,ACS2,ACSL6,ENSG00000164398.12,FACL6,KIAA0837,LACS2,LACS5,Q9UKU0"
"8","ACVR1","ENSG00000115170.13","ENSG00000115170",90,"activin A receptor, type I",1,"2:157736444-157875111","Yes",24.1,"yes","","DIPG","","","O","Dom","oncogene","Mis","","yes  ","Fibrodysplasia ossificans progressiva","COSG340575","ACVR1","90,ACVR1,ACVR1A,ACVRLK2,ALK2,ENSG00000115170.13,Q04771,SKR1"
"9","ACVR1B","ENSG00000135503.12","ENSG00000135503",91,"Activin A Receptor Type 1B",1,"12:51951701-51994217","",13.13,"yes","","pancreatic cancer","","","E","","TSG","D, F, Mis, N","","","","COSG375911","ACVR1B","91,ACVR1B,ACVRLK4,ALK4,ActRIB,ENSG00000135503.12,P36896,SKR2"
"10","ACVR2A","ENSG00000121989.14","ENSG00000121989",92,"activin A receptor type 2A",1,"2:147844517-147930824","Yes",23.1,"yes","","large intestine carcinoma, stomach carcinoma, pancreatic carcinoma, biliary tract, oesophagus","","","E","Rec","TSG","Mis, N, F","","","","COSG309897","ACVR2A","92,ACTRII,ACVR2,ACVR2A,ENSG00000121989.14,P27037"
"11","AFDN","ENSG00000130396.20","ENSG00000130396",4301,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 4 (AF6)",1,"6:167827635-167970232","",27,"yes","","AL","","","L","Dom","oncogene, fusion","T","KMT2A","","","COSG315134","AFDN","4301,AF-6,AF6,AFDN,ENSG00000130396.20,MLLT4"
"12","AFF1","ENSG00000172493.20","ENSG00000172493",4299,"AF4/FMR2 family, member 1",1,"4:86935002-87141054","Yes",22.1,"yes","","AL","","","L","Dom","fusion","T","KMT2A","","","COSG384921","AFF1","4299,AF-4,AF4,AFF1,ENSG00000172493.20,MLLT2,P51825,PBM1"
"13","AFF3","ENSG00000144218.18","ENSG00000144218",3899,"AF4/FMR2 family, member 3",1,"2:99551121-100106128","Yes",11.2,"yes","","ALL, T-ALL","","","L","Dom","oncogene, fusion","T","KMT2A, RUNX1","","","COSG294525","AFF3","3899,AFF3,ENSG00000144218.18,LAF4,MLLT2-like,P51826"
"14","AFF4","ENSG00000072364.12","ENSG00000072364",27125,"AF4/FMR2 family, member 4",1,"5:132875379-132963634","Yes",31.1,"yes","","ALL","","","L","Dom","oncogene, fusion","T","KMT2A","","","COSG323848","AFF4","27125,AF5Q31,AFF4,ENSG00000072364.12,MCEF,Q9UHB7"
"15","AKAP9","ENSG00000127914.16","ENSG00000127914",10142,"A kinase (PRKA) anchor protein (yotiao) 9",2,"7:91940867-92110673","",21.2,"yes","","papillary thyroid","","","E","Dom","fusion","T","BRAF","","","COSG380191","AKAP9","10142,AKAP350,AKAP450,AKAP9,CG-NAP,ENSG00000127914.16,HYPERION,KIAA0803,LQT11,MU-RMS-40.16A,PPP1R45,PRKA9,Q99996,YOTIAO"
"16","AKT1","ENSG00000142208.15","ENSG00000142208",207,"v-akt murine thymoma viral oncogene homolog 1",1,"14:104769349-104794124","Yes",32.33,"yes","","breast, colorectal, ovarian, NSCLC","","","E","Dom","oncogene","Mis","","","","COSG219524","AKT1","207,AKT,AKT1,ENSG00000142208.15,P31749,PKB,PRKBA,RAC"
"17","AKT2","ENSG00000105221.16","ENSG00000105221",208,"v-akt murine thymoma viral oncogene homolog 2",1,"19:40230317-40285395","",13.2,"yes","","ovarian, pancreatic","","","E","Dom","oncogene","A","","","","COSG316926","AKT2","208,AKT2,ENSG00000105221.16,P31751"
"18","AKT3","ENSG00000117020.16","ENSG00000117020",10000,"v-akt murine thymoma viral oncogene homolog 3 ",2,"1:243499720-243843282","",44,"yes","","GBM","","","O","","oncogene","A","","","","COSG259402","AKT3","10000,AKT3,ENSG00000117020.16,PKBG,PRKBG,Q9Y243,RAC-gamma"
"19","ALDH2","ENSG00000111275.12","ENSG00000111275",217,"aldehyde dehydrogenase 2 family (mitochondrial)",2,"12:111766922-111817529","",24.12,"yes","","leiomyoma","","","M","Dom","fusion","T","HMGA2","","","COSG300770","ALDH2","217,ALDH2,ENSG00000111275.12,P05091"
"20","ALK","ENSG00000171094.17","ENSG00000171094",238,"anaplastic lymphoma kinase (Ki-1)",1,"2:29192774-29921566","Yes",23.2,"yes","yes","ALCL, NSCLC, neuroblastoma, inflammatory myofibroblastic tumour, Spitzoid tumour","neuroblastoma","familial neuroblastoma","L, E, M","Dom","oncogene, fusion","T, Mis, A","NPM1, TPM3, TFG, TPM4, ATIC, CLTC, MSN, RNF213, CARS, EML4, KIF5B, C2orf22, DCTN1, HIP1, TPR, RANBP2, PPFIBP1, SEC31A, STRN, VCL, C2orf44, KLC1","","","COSG383409","ALK","238,ALK,CD246,ENSG00000171094.17,Q9UM73"
"21","AMER1","ENSG00000184675.9","ENSG00000184675",139285,"APC membrane recruitment protein 1",1,"X:64185117-64205744","Yes",11.2,"yes","","Wilms tumour","","","O","Rec","TSG","F, D, N, Mis","","","","COSG265354","AMER1","139285,AMER1,ENSG00000184675.9,FAM123B,FLJ39827,Q5JTC6,RP11-403E24.2,WTX"
"22","ANK1","ENSG00000029534.20","ENSG00000029534",286,"ankyrin 1",2,"8:41653225-41896762","",11.21,"yes","","CCRCC","","","E","","","Mis","","","","COSG227602","ANK1","286,ANK,ANK1,ENSG00000029534.20,P16157,SPH1"
"23","APC","ENSG00000134982.16","ENSG00000134982",324,"adenomatous polyposis of the colon gene",1,"5:112737888-112846239","Yes",22.2,"yes","yes","colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","colorectal, pancreatic, desmoid, hepatoblastoma, glioma, other CNS","adenomatous polyposis coli; Turcot syndrome","E, M, O","Rec","TSG","D, Mis, N, F, S","","","","COSG208824","APC","324,APC,DP2,DP2.5,DP3,ENSG00000134982.16,P25054,PPP1R46"
"24","APOBEC3B","ENSG00000179750.15","ENSG00000179750",9582,"apolipoprotein B mRNA editing enzyme catalytic subunit 3B",1,"22:38982409-38992784","Yes",13.1,"","yes","","breast cancer","","E","Rec","oncogene, TSG","D","","","","COSG343618","APOBEC3B","9582,APOBEC3B,ENSG00000179750.15,FLJ21201,PHRBNL,Q9UH17"
"25","AR","ENSG00000169083.16","ENSG00000169083",367,"Androgen Receptor ",1,"X:67544036-67730619","Yes",12,"yes","yes","prostate","","","E","Dom","oncogene","Mis","","yes  ","Androgen insensitivity, Hypospadias 1, X-linked, Spinal and bulbar muscular atrophy of Kennedy ","COSG292497","AR","367,AIS,AR,DHTR,ENSG00000169083.16,HUMARA,NR3C4,P10275,SBMA,SMAX1"
"26","ARAF","ENSG00000078061.12","ENSG00000078061",369,"A-Raf proto-oncogene, serine/threonine kinase",2,"X:47561100-47571920","",11.3,"yes","","cholangiocarcinoma, lung adenocarcinoma, Langerhans cell histiocytosis","","","E, L","","oncogene","Mis","","","","COSG197131","ARAF","369,ARAF,ARAF1,ENSG00000078061.12"
"27","ARHGAP26","ENSG00000145819.16","ENSG00000145819",23092,"Rho GTPase activating protein 26",1,"5:142770377-143229011","Yes",31.3,"yes","","AML, MDS","","","L","Dom","TSG, fusion","T, F, S","KMT2A","","","COSG369612","ARHGAP26","23092,ARHGAP26,ENSG00000145819.16,GRAF,KIAA0621,OPHN1L,OPHN1L1,Q9UNA1"
"28","ARHGAP35","ENSG00000160007.18","ENSG00000160007",2909,"Rho GTPase activating protein 35",1,"19:46918676-47005077","",13.32,"yes","","endometrial carcinoma","","","E","","TSG","N, Mis, F, O","","","","COSG209627","ARHGAP35","2909,ARHGAP35,ENSG00000160007.18,GRF-1,GRLF1,KIAA1722,P190A,Q9NRY4,p190ARhoGAP,p190RhoGAP"
"29","ARHGAP5","ENSG00000100852.12","ENSG00000100852",394,"Rho GTPase activating protein 5",2,"14:32077289-32159728","",12,"yes","","colon cancer, glioma","","","E, O","","oncogene","Mis","","","","COSG302911","ARHGAP5","394,ARHGAP5,ENSG00000100852.12,GFI2,Q13017,RhoGAP5,p190-B,p190BRhoGAP"
"30","ARHGEF10","ENSG00000104728.15","ENSG00000104728",9639,"Rho guanine nucleotide exchange factor 10",2,"8:1824015-1958641","",23.3,"yes","","colon cancer","","","E","","TSG","D","","","","COSG349255","ARHGEF10","9639,ARHGEF10,ENSG00000104728.15,Gef10,KIAA0294,O15013"
"31","ARHGEF10L","ENSG00000074964.16","ENSG00000074964",55160,"Rho guanine nucleotide exchange factor 10 like",2,"1:17539835-17697869","",36.13,"yes","","lymphoma","","","L","","TSG","D","","","","COSG269628","ARHGEF10L","55160,ARHGEF10L,ENSG00000074964.16,FLJ10521,KIAA1626,Q9HCE6"
"32","ARHGEF12","ENSG00000196914.8","ENSG00000196914",23365,"RHO guanine nucleotide exchange factor (GEF) 12 (LARG)",1,"11:120337078-120489936","",23.3,"yes","","AML","","","L","Dom","TSG, fusion","T","KMT2A","","","COSG369329","ARHGEF12","23365,ARHGEF12,ENSG00000196914.8,KIAA0382,LARG,Q9NZN5"
"33","ARID1A","ENSG00000117713.19","ENSG00000117713",8289,"AT rich interactive domain 1A (SWI-like)",1,"1:26696033-26782110","Yes",36.11,"yes","","clear cell ovarian carcinoma, RCC, breast","","","E","Rec","TSG, fusion","Mis, N, F, S, D, T","MAST2","","","COSG219697","ARID1A","8289,ARID1A,B120,BAF250,BAF250a,C10rf4,C1orf4,ENSG00000117713.19,O14497,P270,SMARCF1"
"34","ARID1B","ENSG00000049618.22","ENSG00000049618",57492,"AT rich interactive domain 1B",1,"6:156777374-157210779","Yes",25.3,"yes","","breast, hepatocellular carcinoma, clear cell ovarian carcinoma","","","E","Rec","TSG","Mis, F, N, O","","","","COSG359389","ARID1B","57492,6A3-5,ARID1B,BAF250b,DAN15,ELD/OSA1,ENSG00000049618.22,KIAA1235,Q8NFD5,p250R"
"35","ARID2","ENSG00000189079.15","ENSG00000189079",196528,"AT rich interactive domain 2",1,"12:45729665-45908040","Yes",12,"yes","","hepatocellular carcinoma","","","E","Rec","TSG","N, S, F","","","","COSG205476","ARID2","196528,ARID2,BAF200,DKFZp686G052,ENSG00000189079.15,FLJ30619,KIAA1557,Q68CP9"
"36","ARNT","ENSG00000143437.20","ENSG00000143437",405,"aryl hydrocarbon receptor nuclear translocator",1,"1:150809705-150876768","Yes",21.3,"yes","","AML","","","L","Dom","oncogene, TSG, fusion","T","ETV6","","","COSG306114","ARNT","405,ARNT,ENSG00000143437.20,HIF-1beta,P27540,bHLHe2"
"37","ASPSCR1","ENSG00000169696.15","ENSG00000169696",79058,"alveolar soft part sarcoma chromosome region, candidate 1",1,"17:81977550-82017404","Yes",25.3,"yes","","alveolar soft part sarcoma","","","M","Dom","fusion","T","TFE3","","","COSG299296","ASPSCR1","79058,ASPL,ASPS,ASPSCR1,ENSG00000169696.15,Q9BZE9,TUG,UBXD9,UBXN9"
"38","ASXL1","ENSG00000171456.17","ENSG00000171456",171023,"additional sex combs like 1",1,"20:32358330-32439319","Yes",11.21,"yes","","MDS, CMML","","","L","Rec","TSG","F, N, Mis","","yes  ","Bohring-Opitz syndrome","COSG347968","ASXL1","171023,ASXL1,ENSG00000171456.17,KIAA0978,Q8IXJ9"
"39","ASXL2","ENSG00000143970.16","ENSG00000143970",55252,"additional sex combs like 2, transcriptional regulator",2,"2:25741925-25780309","",23.3,"yes","","melanoma, CCRCC, AML","","","E, L","","TSG","O,N, F","","","","COSG337049","ASXL2","55252,ASXH2,ASXL2,ENSG00000143970.16,FLJ10898,KIAA1685,Q76L83"
"40","ATF1","ENSG00000123268.8","ENSG00000123268",466,"activating transcription factor 1",1,"12:50764292-50821122","Yes",13.12,"yes","","malignant melanoma of soft parts, angiomatoid fibrous histiocytoma","","","E, M","Dom","oncogene, fusion","T","EWSR1, FUS","","","COSG395190","ATF1","466,ATF1,ENSG00000123268.8,P18846,TREB36"
